year_month,product_price,product_category,forecast_qty
2016-08-01,11.99,Notebooks & Journals,2.0
2016-09-01,11.99,Notebooks & Journals,0.0
2016-10-01,11.99,Notebooks & Journals,1.0
2016-11-01,11.99,Notebooks & Journals,1.0
2016-12-01,11.99,Notebooks & Journals,4.0
2017-01-01,11.99,Notebooks & Journals,1.0
2017-02-01,11.99,Notebooks & Journals,1.0
2017-03-01,11.99,Notebooks & Journals,1.0
2017-04-01,11.99,Notebooks & Journals,1.0
2017-05-01,11.99,Notebooks & Journals,1.0
2017-06-01,11.99,Notebooks & Journals,2.0
2017-07-01,11.99,Notebooks & Journals,3.0
2016-08-01,14.99,Notebooks & Journals,0.0
2016-09-01,14.99,Notebooks & Journals,0.0
2016-10-01,14.99,Notebooks & Journals,0.0
2016-11-01,14.99,Notebooks & Journals,0.0
2016-12-01,14.99,Notebooks & Journals,0.0
2017-01-01,14.99,Notebooks & Journals,1.0
2017-02-01,14.99,Notebooks & Journals,1.0
2017-03-01,14.99,Notebooks & Journals,0.0
2017-04-01,14.99,Notebooks & Journals,0.0
2017-05-01,14.99,Notebooks & Journals,0.0
2017-06-01,14.99,Notebooks & Journals,0.0
2017-07-01,14.99,Notebooks & Journals,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,2.0
2016-12-01,15.99,Apparel,2.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,13.59,Apparel,3.0
2016-09-01,13.59,Apparel,1.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,2.0
2016-12-01,15.99,Apparel,3.0
2017-01-01,15.99,Apparel,2.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,0.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,3.0
2017-01-01,19.99,Apparel,2.0
2017-02-01,19.99,Apparel,2.0
2017-03-01,19.99,Apparel,2.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,13.59,Apparel,3.0
2016-09-01,13.59,Apparel,1.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,2.0
2016-12-01,15.99,Apparel,3.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,3.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,2.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,13.59,Apparel,2.0
2016-09-01,13.59,Apparel,0.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,2.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,2.0
2016-12-01,19.99,Apparel,2.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,2.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,0.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,2.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,2.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,0.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,13.59,Apparel,3.0
2016-09-01,13.59,Apparel,1.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,2.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,3.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,2.0
2017-05-01,15.99,Apparel,5.0
2017-06-01,15.99,Apparel,3.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,0.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,2.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,2.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,1.0
2016-08-01,13.59,Apparel,3.0
2016-09-01,13.59,Apparel,1.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,3.0
2016-11-01,15.99,Apparel,4.0
2016-12-01,15.99,Apparel,3.0
2017-01-01,15.99,Apparel,2.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,2.0
2017-04-01,15.99,Apparel,2.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,1.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,0.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,13.59,Apparel,2.0
2016-09-01,13.59,Apparel,1.0
2016-10-01,13.59,Apparel,0.0
2016-11-01,13.59,Apparel,0.0
2016-12-01,13.59,Apparel,0.0
2017-01-01,13.59,Apparel,0.0
2017-02-01,13.59,Apparel,0.0
2017-03-01,13.59,Apparel,0.0
2017-04-01,13.59,Apparel,0.0
2017-05-01,13.59,Apparel,0.0
2017-06-01,13.59,Apparel,0.0
2017-07-01,13.59,Apparel,0.0
2016-08-01,15.99,Apparel,2.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,2.0
2016-11-01,15.99,Apparel,2.0
2016-12-01,15.99,Apparel,4.0
2017-01-01,15.99,Apparel,2.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,2.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,1.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,1.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,0.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,2.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,16.99,Apparel,1.0
2016-09-01,16.99,Apparel,1.0
2016-10-01,16.99,Apparel,0.0
2016-11-01,16.99,Apparel,0.0
2016-12-01,16.99,Apparel,0.0
2017-01-01,16.99,Apparel,0.0
2017-02-01,16.99,Apparel,0.0
2017-03-01,16.99,Apparel,0.0
2017-04-01,16.99,Apparel,1.0
2017-05-01,16.99,Apparel,0.0
2017-06-01,16.99,Apparel,0.0
2017-07-01,16.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,1.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,2.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,1.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,15.99,Apparel,0.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,0.0
2016-11-01,15.99,Apparel,0.0
2016-12-01,15.99,Apparel,0.0
2017-01-01,15.99,Apparel,0.0
2017-02-01,15.99,Apparel,0.0
2017-03-01,15.99,Apparel,0.0
2017-04-01,15.99,Apparel,0.0
2017-05-01,15.99,Apparel,0.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,1.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,2.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,1.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,2.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,1.0
2016-11-01,19.99,Apparel,1.0
2016-12-01,19.99,Apparel,1.0
2017-01-01,19.99,Apparel,1.0
2017-02-01,19.99,Apparel,1.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,2.0
2016-08-01,15.99,Apparel,0.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,0.0
2016-11-01,15.99,Apparel,0.0
2016-12-01,15.99,Apparel,0.0
2017-01-01,15.99,Apparel,0.0
2017-02-01,15.99,Apparel,0.0
2017-03-01,15.99,Apparel,0.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,0.0
2017-06-01,15.99,Apparel,0.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,1.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,0.0
2017-04-01,19.99,Apparel,12.0
2017-05-01,19.99,Apparel,1.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,1.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,2.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,1.0
2017-07-01,15.99,Apparel,1.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,1.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,1.0
2016-11-01,15.99,Apparel,1.0
2016-12-01,15.99,Apparel,1.0
2017-01-01,15.99,Apparel,1.0
2017-02-01,15.99,Apparel,1.0
2017-03-01,15.99,Apparel,1.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,1.0
2017-06-01,15.99,Apparel,0.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,1.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,0.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,0.0
2016-11-01,15.99,Apparel,0.0
2016-12-01,15.99,Apparel,0.0
2017-01-01,15.99,Apparel,0.0
2017-02-01,15.99,Apparel,0.0
2017-03-01,15.99,Apparel,0.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,0.0
2017-06-01,15.99,Apparel,0.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,0.0
2017-04-01,19.99,Apparel,1.0
2017-05-01,19.99,Apparel,0.0
2017-06-01,19.99,Apparel,0.0
2017-07-01,19.99,Apparel,0.0
2016-08-01,15.99,Apparel,0.0
2016-09-01,15.99,Apparel,0.0
2016-10-01,15.99,Apparel,0.0
2016-11-01,15.99,Apparel,0.0
2016-12-01,15.99,Apparel,0.0
2017-01-01,15.99,Apparel,0.0
2017-02-01,15.99,Apparel,0.0
2017-03-01,15.99,Apparel,0.0
2017-04-01,15.99,Apparel,1.0
2017-05-01,15.99,Apparel,0.0
2017-06-01,15.99,Apparel,0.0
2017-07-01,15.99,Apparel,0.0
2016-08-01,19.99,Apparel,0.0
2016-09-01,19.99,Apparel,0.0
2016-10-01,19.99,Apparel,0.0
2016-11-01,19.99,Apparel,0.0
2016-12-01,19.99,Apparel,0.0
2017-01-01,19.99,Apparel,0.0
2017-02-01,19.99,Apparel,0.0
2017-03-01,19.99,Apparel,1.0
2017-04-01,19.99,Apparel,0.0
